id,news_website_homepage,extracted_keywords,internal_urls,manual_topic_label
24,https://www.thehindu.com/,tamil-nadu,https://www.thehindu.com/news/national/tamil-nadu/,Regional
24,https://www.thehindu.com/,telangana,https://www.thehindu.com/news/national/telangana/,Regional
24,https://www.thehindu.com/,coimbatore,https://www.thehindu.com/news/cities/Coimbatore/,Local
24,https://www.thehindu.com/,kochi,https://www.thehindu.com/news/cities/Kochi/,Local
24,https://www.thehindu.com/,kolkata,https://www.thehindu.com/news/cities/kolkata/,Local
24,https://www.thehindu.com/,mumbai,https://www.thehindu.com/news/cities/mumbai/,Local
24,https://www.thehindu.com/,kozhikode,https://www.thehindu.com/news/cities/kozhikode/,Local
24,https://www.thehindu.com/,madurai,https://www.thehindu.com/news/cities/Madurai/,Local
24,https://www.thehindu.com/,mangalore,https://www.thehindu.com/news/cities/Mangalore/,Local
24,https://www.thehindu.com/,puducherry,https://www.thehindu.com/news/cities/puducherry/,Local
24,https://www.thehindu.com/,thiruvananthapuram,https://www.thehindu.com/news/cities/Thiruvananthapuram/,Local
24,https://www.thehindu.com/,tiruchirapalli,https://www.thehindu.com/news/cities/Tiruchirapalli/,Local
24,https://www.thehindu.com/,vijayawada,https://www.thehindu.com/news/cities/Vijayawada/,Local
24,https://www.thehindu.com/,visakhapatnam,https://www.thehindu.com/news/cities/Visakhapatnam/,Local
